date,open,high,low,close,type
2022-09-26,18435.44,18688.46,18435.44,18688.46,bull
2022-10-03,18702.52,18702.52,18491.67,18491.67,bear
2023-03-27,18618.18,18618.18,18604.12,18604.12,bear
2023-04-03,18618.18,18618.18,18604.12,18604.12,bear
2023-04-10,18590.06,18814.97,18590.06,18814.97,bull
2023-04-17,18857.14,18857.14,18660.35,18660.35,bear
2023-04-24,18688.46,19180.45,18688.46,19180.45,bull
2023-05-02,19250.74,19321.02,19250.74,19321.02,bull
2023-05-08,19405.36,19545.93,19405.36,19545.93,bull
2023-05-15,19616.21,19728.67,19616.21,19728.67,bull
2023-05-22,19742.72,19742.72,19644.33,19644.33,bear
2023-05-29,19658.38,19658.38,19517.82,19517.82,bear
2023-06-05,19559.99,19559.99,19433.47,19433.47,bear
2023-06-12,19377.25,19377.25,19306.96,19306.96,bear
2023-06-19,19306.96,19306.96,19264.79,19264.79,bear
2023-06-26,19292.91,19419.42,19292.91,19419.42,bull
2023-07-03,19531.87,19813.01,19531.87,19813.01,bull
2023-07-10,19897.35,20178.49,19897.35,20178.49,bull
2023-07-17,20150.37,20150.37,19672.44,19672.44,bear
2023-07-24,19672.44,19672.44,19644.33,19644.33,bear
2023-07-31,19630.27,19644.33,19630.27,19644.33,bull
2023-08-07,19545.93,19742.72,19545.93,19742.72,bull
2023-08-14,19728.67,19728.67,19545.93,19545.93,bear
2023-08-21,19503.76,19503.76,19053.94,19053.94,bear
2023-08-28,19053.94,19222.62,19053.94,19222.62,bull
2023-09-04,19349.13,19517.82,19349.13,19517.82,bull
2023-09-11,19489.7,19714.61,19489.7,19714.61,bull
2023-09-18,19728.67,19784.89,19728.67,19784.89,bull
2023-09-25,19841.12,20248.77,19841.12,20248.77,bull
2023-10-03,20600.19,20951.61,20600.19,20951.61,bull
2023-10-09,20965.67,21443.6,20965.67,21443.6,bull
2023-10-16,21415.49,21415.49,21345.2,21345.2,bear
2023-10-23,21373.32,21724.74,21373.32,21724.74,bull
2023-10-30,21710.68,21710.68,21696.62,21696.62,bear
2023-11-06,21752.85,21879.36,21752.85,21879.36,bull
2023-11-13,22033.99,22033.99,21570.11,21570.11,bear
2023-11-20,21710.68,21710.68,21359.26,21359.26,bear
2023-11-28,21429.54,21837.19,21429.54,21837.19,bull
2023-12-04,21907.48,21907.48,21780.96,21780.96,bear
2023-12-11,21809.08,22033.99,21809.08,22033.99,bull
2023-12-18,22104.27,22202.67,22104.27,22202.67,bull
2023-12-26,22174.56,22371.35,22174.56,22371.35,bull
2024-01-01,22399.47,22483.81,22399.47,22483.81,bull
2024-01-08,22511.92,22511.92,22019.93,22019.93,bear
2024-01-15,21991.82,22090.22,21991.82,22090.22,bull
2024-01-23,21949.65,22315.12,21949.65,22315.12,bull
2024-01-29,22455.69,22497.86,22455.69,22497.86,bull
2024-02-05,22568.15,22568.15,22525.98,22525.98,bear
2024-02-12,22329.18,22329.18,22146.44,22146.44,bear
2024-02-19,22343.24,22413.52,22343.24,22413.52,bull
2024-03-04,22554.09,22554.09,22062.1,22062.1,bear
2024-03-11,22033.99,22483.81,22033.99,22483.81,bull
2024-03-18,22399.47,22947.68,22399.47,22947.68,bull
2024-03-26,18814.97,19264.79,18814.97,19264.79,bull
2024-04-01,23327.22,23327.22,23285.05,23285.05,bear
2024-04-08,19278.85,19869.24,19278.85,19869.24,bull
2024-04-15,19841.12,19841.12,19756.78,19756.78,bear
2024-04-22,19770.84,20220.66,19770.84,20220.66,bull
2024-04-29,20206.6,20206.6,20192.54,20192.54,bear
2024-05-06,24325.25,24493.93,24325.25,24493.93,bull
2024-05-13,20248.77,20417.45,20248.77,20417.45,bull
2024-05-21,20614.25,20614.25,20037.92,20037.92,bear
2024-05-27,20192.54,20192.54,19756.78,19756.78,bear
2024-06-03,19855.18,20375.28,19855.18,20375.28,bull
2024-06-10,24325.25,24522.05,24325.25,24522.05,bull
2024-06-18,20459.62,20459.62,20290.94,20290.94,bear
2024-06-24,20319.05,20600.19,20319.05,20600.19,bull
2024-07-01,20698.59,20825.1,20698.59,20825.1,bull
2024-07-08,20782.93,21021.9,20782.93,21021.9,bull
2024-07-15,25407.63,25773.11,25407.63,25773.11,bull
2024-07-22,21064.07,21176.52,21064.07,21176.52,bull
2024-07-29,21204.63,21204.63,20600.19,20600.19,bear
2024-08-05,20558.02,20670.48,20558.02,20670.48,bull
2024-08-12,20501.79,20965.67,20501.79,20965.67,bull
2024-08-19,24943.75,24943.75,24184.68,24184.68,bear
2024-08-26,21134.35,21190.58,21134.35,21190.58,bull
2024-09-02,21274.92,21274.92,21218.69,21218.69,bear
2024-09-09,20979.73,20979.73,20754.82,20754.82,bear
2024-09-16,23608.35,23889.49,23608.35,23889.49,bull
2024-09-23,24240.91,24240.91,24128.46,24128.46,bear
2024-09-30,24142.51,24662.62,24142.51,24662.62,bull
2024-10-07,21260.86,21260.86,20642.36,20642.36,bear
2024-10-14,20600.19,21176.52,20600.19,21176.52,bull
2024-10-21,23734.86,23805.15,23734.86,23805.15,bull
2024-10-28,23805.15,23987.89,23805.15,23987.89,bull
2024-11-04,21851.25,21851.25,21232.75,21232.75,bear
2024-11-11,22230.78,22230.78,22174.56,22174.56,bear
2024-11-18,22216.73,22385.41,22216.73,22385.41,bull
2024-11-25,22947.68,23467.78,22947.68,23467.78,bull
2024-12-02,23327.22,23552.13,23327.22,23552.13,bull
2024-12-09,22301.07,23060.14,22301.07,23060.14,bull
2024-12-16,23060.14,23453.73,23060.14,23453.73,bull
2024-12-23,23481.84,23678.64,23481.84,23678.64,bull
2024-12-30,22202.67,22540.03,22202.67,22540.03,bull
2025-01-06,22511.92,22511.92,22399.47,22399.47,bear
2025-01-13,23622.41,24100.34,23622.41,24100.34,bull
2025-01-20,24226.85,24226.85,23959.77,23959.77,bear
2025-01-27,23439.67,23509.96,23439.67,23509.96,bull
2025-02-03,21766.91,22821.17,21766.91,22821.17,bull
2025-02-10,23369.39,23833.26,23369.39,23833.26,bull
2025-02-17,23861.38,24086.29,23861.38,24086.29,bull
2025-02-24,24198.74,24592.33,24198.74,24592.33,bull
2025-03-03,24718.84,24718.84,24128.46,24128.46,bear
2025-03-10,24423.65,25014.04,24423.65,25014.04,bull
2025-03-17,24985.92,24985.92,24859.41,24859.41,bear
2025-03-24,24831.3,25295.17,24831.3,25295.17,bull
2025-04-01,25407.63,25773.11,25407.63,25773.11,bull
2025-04-07,25632.54,25632.54,24339.31,24339.31,bear
2025-04-15,24732.9,25098.38,24732.9,25098.38,bull
2025-04-21,24943.75,25618.48,24943.75,25618.48,bull
2025-04-28,24325.25,24325.25,24128.46,24128.46,bear
2025-05-05,24240.91,24240.91,23299.1,23299.1,bear
2025-05-12,23383.44,23439.67,23383.44,23439.67,bull
2025-05-19,24985.92,24985.92,24845.35,24845.35,bear
2025-05-26,24775.07,24775.07,24564.22,24564.22,bear
2025-06-02,23158.53,23158.53,22483.81,22483.81,bear
2025-06-09,22568.15,22933.63,22568.15,22933.63,bull
2025-06-16,23369.39,23369.39,23228.82,23228.82,bear
2025-06-23,24929.7,24929.7,24423.65,24423.65,bear
2025-06-30,24437.71,24732.9,24437.71,24732.9,bull
2025-07-07,23861.38,24016.0,23861.38,24016.0,bull
2025-07-14,23987.89,23987.89,22554.09,22554.09,bear
2025-07-21,22736.83,22821.17,22736.83,22821.17,bull
2025-07-28,24732.9,24887.52,24732.9,24887.52,bull
2025-08-04,24915.64,25267.06,24915.64,25267.06,bull
2025-08-11,23116.36,23116.36,22357.29,22357.29,bear
2025-08-18,25815.28,25815.28,25801.22,25801.22,bear
2025-08-25,22160.5,22160.5,21935.59,21935.59,bear
2025-09-01,25688.76,25688.76,25491.97,25491.97,bear
2025-09-08,25506.03,25899.62,25506.03,25899.62,bull
2025-09-15,22216.73,22497.86,22216.73,22497.86,bull
2025-09-22,22483.81,22483.81,21724.74,21724.74,bear
2025-09-29,21570.11,21570.11,21556.06,21556.06,bear
2025-10-06,26152.64,26152.64,26054.24,26054.24,bear
2025-10-13,25927.73,25955.84,25927.73,25955.84,bull
2025-10-20,20811.04,21246.81,20811.04,21246.81,bull
2025-10-27,21204.63,21204.63,21064.07,21064.07,bear
2025-11-03,21007.84,22244.84,21007.84,22244.84,bull
2025-11-10,25674.71,25688.76,25674.71,25688.76,bull
2025-11-17,25646.59,25646.59,25056.21,25056.21,bear
2025-11-24,22230.78,22230.78,21696.62,21696.62,bear
2025-12-01,20262.83,21584.17,20262.83,21584.17,bull
2025-12-08,22272.95,22863.34,22272.95,22863.34,bull
2025-12-15,25421.68,25562.25,25421.68,25562.25,bull
2025-12-22,25660.65,25660.65,25182.72,25182.72,bear
2025-12-29,23158.53,23481.84,23158.53,23481.84,bull
2026-01-05,23580.24,23580.24,23074.19,23074.19,bear
2026-01-12,23594.3,24325.25,23594.3,24325.25,bull
2026-01-27,22554.09,22694.66,22554.09,22694.66,bull
2026-02-02,24198.74,24198.74,24001.94,24001.94,bear
2026-02-09,23903.55,24311.19,23903.55,24311.19,bull
2026-02-16,24507.99,24507.99,23959.77,23959.77,bear
2026-02-23,23945.72,23987.89,23945.72,23987.89,bull
2026-03-02,24058.17,24170.63,24058.17,24170.63,bull
2026-03-09,24240.91,25098.38,24240.91,25098.38,bull
2026-03-16,25126.49,25126.49,24887.52,24887.52,bear
2026-03-23,24859.41,24859.41,24507.99,24507.99,bear
2026-04-06,24493.93,24493.93,24283.08,24283.08,bear
2026-04-13,24297.14,24297.14,24114.4,24114.4,bear
2026-04-20,24030.06,24030.06,23777.03,23777.03,bear
2026-04-27,23791.09,23791.09,23524.01,23524.01,bear
